stationIDX,lat,lon,name,url
5975,56.459167,-2.971389,"Dundee Union Street, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/dundee-union-street
5976,55.607469,-4.497986,"E Ayrshire Kilmarnock St Marnock St, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/e-ayrshire-kilmarnock-st-marnock-st
5977,55.61095,-4.499021,"East Ayrshire Kilmarnock John Finnie St, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/east-ayrshire-kilmarnock-john-finnie-st
5978,55.919596,-4.333505,"East Dunbartonshire Bearsden, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/east-dunbartonshire-bearsden
5979,55.904167,-4.225,"East Dunbartonshire Bishopbriggs, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/east-dunbartonshire-bishopbriggs
5980,55.935921,-4.151759,"East Dunbartonshire Kirkintilloch, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/east-dunbartonshire-kirkintilloch
5981,55.938253,-4.317753,"East Dunbartonshire Milngavie , United Kingdom",https://aqicn.org/city/united-kingdom/scotland/east-dunbartonshire-milngavie-
5982,55.786253,-4.274733,"East Renfrewshire Sheddens, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/east-renfrewshire-sheddens
5983,55.939026,-3.392727,"Edinburgh Glasgow Road, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/edinburgh-glasgow-road
5984,55.953837,-3.205481,"Edinburgh Queen Street, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/edinburgh-queen-street
5985,55.960497,-3.30325,"Edinburgh Queensferry Road, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/edinburgh-queensferry-road
5986,55.974594,-3.161455,"Edinburgh Salamander St, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/edinburgh-salamander-st
5987,55.945589,-3.182186,"Edinburgh St Leonards, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/edinburgh-st-leonards
5988,55.988456,-3.969288,"Falkirk Banknock, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/falkirk-banknock
5989,56.018951,-3.721013,"Falkirk Grangemouth MC, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/falkirk-grangemouth-mc
5990,55.991087,-3.941685,"Falkirk Haggs, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/falkirk-haggs
5991,56.000507,-3.790128,"Falkirk West Bridge Street, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/falkirk-west-bridge-street
5992,56.319444,-3.014167,"Fife Cupar, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/fife-cupar
5993,56.07383,-3.44862,"Fife Dunfermline, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/fife-dunfermline
5994,56.124331,-3.141347,"Fife Kirkcaldy, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/fife-kirkcaldy
5995,56.036243,-3.417582,"Fife Rosyth, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/fife-rosyth
5996,55.850556,-4.231111,"Glasgow Abercromby Street, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/glasgow-abercromby-street
5997,55.87603,-4.318754,"Glasgow Broomhill, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/glasgow-broomhill
5998,55.851071,-4.19714,"Glasgow Burgher St., United Kingdom",https://aqicn.org/city/united-kingdom/scotland/glasgow-burgher-st.
5999,55.874167,-4.294722,"Glasgow Byres Road, United Kingdom",https://aqicn.org/city/united-kingdom/scotland/glasgow-byres-road
